area,room,living_room,age,floor,city,district,neighbourhood,price
170,2,1,21,0,istanbul,besiktas,etiler,2500
90,2,1,6,6,istanbul,kagithane,caglayan,39500
75,2,1,29,2,istanbul,kagithane,ortabayir,28000
95,2,1,18,2,istanbul,maltepe,aydinevler,46000
65,2,1,9,0,istanbul,kucukcekmece,kemalpasa,22000
145,3,1,40,2,istanbul,sisli,mesrutiyet,95000
90,2,1,40,3,istanbul,besiktas,dikilitas,32500
90,2,1,5,8,istanbul,zeytinburnu,maltepe,55000
78,1,1,0,0,istanbul,avcilar,ambarli,23000
90,2,1,45,5,istanbul,kadikoy,caferaga,75000
70,1,1,31,1,istanbul,sisli,tesvikiye,75000
162,3,1,30,3,istanbul,besiktas,mecidiye,82000
120,2,1,25,0,istanbul,buyukcekmece,fatih,45000
90,2,1,40,5,istanbul,fatih,aksemsettin,28000
140,3,1,16,2,istanbul,sancaktepe,merve,27000
115,3,1,0,2,istanbul,tuzla,cami,55000
135,3,1,28,3,istanbul,kucukcekmece,tevfik bey,35000
90,2,1,21,0,istanbul,beyoglu,kaptanpasa,22000
165,3,1,6,1,istanbul,arnavutkoy,hadimkoy,35000
65,2,1,55,1,istanbul,fatih,yavuz sultan selim,40000
100,3,1,35,1,istanbul,beyoglu,kamer hatun,55000
100,2,1,0,1,istanbul,arnavutkoy,tasoluk,25000
180,4,1,6,6,istanbul,sancaktepe,inonu,40000
95,2,1,45,1,istanbul,uskudar,zeynep kamil,39000
75,1,1,35,2,istanbul,eyupsultan,islambey,20000
90,2,1,5,2,istanbul,cekmekoy,aydinlar,45000
95,2,1,35,3,istanbul,umraniye,mehmet akif,25000
125,3,1,25,3,istanbul,tuzla,istasyon,32000
70,1,1,18,1,istanbul,kagithane,celiktepe,23000
95,2,1,13,1,istanbul,gaziosmanpasa,mevlana,30000
100,2,1,25,6,istanbul,kagithane,hamidiye,25000
109,2,1,32,4,istanbul,besiktas,muradiye,40000
90,2,1,22,0,istanbul,esenyurt,talatpasa,13000
75,2,1,30,0,istanbul,uskudar,ferah,27500
120,3,1,50,2,istanbul,fatih,molla gurani,45000
100,2,1,15,5,istanbul,beykoz,kavacik,18000
90,2,1,10,1,istanbul,arnavutkoy,bogazkoy istiklal,15000
85,2,1,0,5,istanbul,fatih,hirka-i serif,12500
110,2,1,21,0,istanbul,bagcilar,100. yil,19000
105,2,1,21,4,istanbul,umraniye,esenevler,30000
50,1,1,0,-1,istanbul,sisli,19 mayis,35000
50,1,1,5,8,istanbul,umraniye,yukari dudullu,35000
85,2,1,6,1,istanbul,umraniye,huzur,25000
70,1,1,5,4,istanbul,esenyurt,akevler,18000
130,3,1,16,3,istanbul,sancaktepe,meclis,35000
150,3,1,16,1,istanbul,eyupsultan,merkez,35000
130,3,1,21,5,istanbul,pendik,kavakpinar,22500
125,2,1,31,1,istanbul,pendik,suluntepe,20000
100,2,1,10,4,istanbul,avcilar,universite,9500
110,2,1,12,3,istanbul,beylikduzu,marmara,25000
146,2,1,8,10,istanbul,sariyer,maslak,90000
90,2,1,3,5,istanbul,bahcelievler,bahcelievler,85000
55,1,1,11,3,istanbul,atasehir,kayisdagi,33500
65,1,1,12,6,istanbul,sultanbeyli,adil,36000
95,2,1,0,6,istanbul,kagithane,talatpasa,30500
80,1,1,6,4,istanbul,tuzla,aydintepe,33000
90,2,1,8,3,istanbul,esenyurt,baglarcesme,20000
65,1,1,25,2,istanbul,sisli,gulbahar,23000
25,1,1,30,3,istanbul,beyoglu,kamer hatun,12000
110,3,1,19,0,istanbul,kagithane,sultan selim,32000
47,1,1,35,2,istanbul,beyoglu,kamer hatun,17000
90,2,1,15,5,istanbul,silivri,yeni,27000
55,1,1,0,0,istanbul,bahcelievler,zafer,25000
160,3,1,10,1,istanbul,esenyurt,balikyolu,15000
70,2,1,49,3,istanbul,beyoglu,cihangir,45000
90,2,1,11,2,istanbul,sisli,kustepe,34500
90,2,1,31,2,istanbul,uskudar,zeynep kamil,35000
140,3,1,30,-1,istanbul,sariyer,resitpasa,75000
120,2,1,26,3,istanbul,eyupsultan,rami yeni,26500
75,2,1,9,-1,istanbul,kagithane,hurriyet,23000
120,3,1,11,3,istanbul,sancaktepe,inonu,30000
55,1,1,20,0,istanbul,esenler,havaalani,15000
