"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","wp-btn","he-icon href","text-ellipsis","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-kiralik/daire/162872-7","29","125.000","29-01-2026","Kiralık Daire","3 +
                          1","130 m²","1
                        Yaşında","10. Kat","Tütüncü Mehmet Efendi Caddesi Göztepe Metro Yanı Kiralık 3+1","İstanbul / Kadıköy / Göztepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/premium-estate-gayrimenkul-162872","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/9/0/0/5/5/4/a5e6261d-4e54-4434-957b-78b5a4ee2a04.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/8/2/6/1/f3346e8e-02bc-493b-bf9d-d1fb383e8b71.jpg","Whatsapp","[object Object]","Hepsiemlak’ta Yeni Üye","Premium Estate Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-kagithane-caglayan-kiralik/residence/158130-184","27","39.500","16-02-2026","Kiralık Residence","2 +
                          1","90 m²","6
                        Yaşında","6. Kat","Grey Blocks Residance Metro Mar. Karşısı Şehir Manzaralı","İstanbul / Kağıthane / Çağlayan Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-forza-158130/mohammed-elsuudi-4426391","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/3/1/8/5/1/7978d250-087c-4856-b3fd-0b81c74f6067.jpg","Whatsapp","[object Object]","Hepsiemlak’ta Yeni Üye","Remax Forza"
"https://www.hepsiemlak.com/istanbul-uskudar-cengelkoy-kiralik/villa/7499-17229","43","120.000","06-03-2026","Kiralık Villa","5 +
                          2","300 m²","25
                        Yaşında","","İki-El Den  Ata - 2 De Emsalsiz Konumda 5+2 Bahçeli Tripleks","İstanbul / Üsküdar / Çengelköy Mah.","","","","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-bahcelievler-kiralik/mustakil-ev/7553-16775","49","129.000","29-12-2025","Kiralık Müstakil Ev","5 +
                          2","320 m²","25
                        Yaşında","","Çengelköy Ata 2'de 3 Katlı Yenilenmiş 280m2 5+2 Bahçeli Müstakil Ev","İstanbul / Üsküdar / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/bogazici-emlak-7553/bogazici-emlak-7553","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Boğaziçi Emlak"
"https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/118239-13194","37","28.000","06-03-2026","Kiralık Daire","2 +
                          1","75 m²","29
                        Yaşında","2. Kat","Eşyalı,   2+1,  Levent Hastanesi,  Zorlu Holding Yanında,    0533 127 44 61 Arayınız","İstanbul / Kağıthane / Ortabayır Mah.","https://www.hepsiemlak.com/emlak-ofisi/adige-insaat-gayrimenkul-118239","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Adige İnşaat Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-beykoz-acarlar-kiralik/villa/8525-57200","48","435.000","03-03-2026","Kiralık Villa","6 +
                          2","550 m²","22
                        Yaşında","","Beykoz Konaklarında Kiralık Geniş Bahçeli","İstanbul / Beykoz / Acarlar Mah.","https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525/sinan-cizmeci-8525","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Versatıe Selenıum Twins Zorlu Center"
"https://www.hepsiemlak.com/istanbul-maltepe-aydinevler-kiralik/daire/3447-22208","60","46.000","17-02-2026","Kiralık Daire","2 +
                          1","95 m²","18
                        Yaşında","2. Kat","Dırect'ten Geniş M2'de Metro, Hılltown'a Komşu Kullanışlı 2+1!!!","İstanbul / Maltepe / Aydınevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/direct-realty-3447","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Direct Realty"
"https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-kiralik/daire/5187-1537","49","125.000","06-03-2026","Kiralık Daire","3 +
                          1","225 m²","30
                        Yaşında","7. Kat","Fenerbahçe Kiralık 3+1 Orduevine 4.Bina 170m2net Balkon, Otopark Boş","İstanbul / Kadıköy / Fenerbahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/dramali-emlak-danismanligi-5187/murat-dramali-5187","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Dramalı Emlak Danışmanlığı"
"https://www.hepsiemlak.com/istanbul-kucukcekmece-kemalpasa-kiralik/daire/61811-2174","14","22.000","03-01-2026","Kiralık Daire","2 +
                          1","65 m²","9
                        Yaşında","Bahçe Katı","İstanbul Küçükçekmece Gültepe'de Kiralık 65.M2.B.Katı.Daire 2+1-22.000.Tl","İstanbul / Küçükçekmece / Kemalpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/1678-986","19","95.000","03-03-2026","Kiralık Daire","3 +
                          1","145 m²","40
                        Yaşında","2. Kat","Valikonağına Paralel Otoparklı 3+1 Asansörlü Çift Cepheli Daire Nişantaşı İstanbul","İstanbul / Şişli / Meşrutiyet Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","Whatsapp","","",""
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/1094-5037","24","32.500","18-12-2025","Kiralık Daire","2 +
                          1","90 m²","40
                        Yaşında","3. Kat","Ayazma Deresi Cad Üzerinde 2+1 Kiralık Daire","İstanbul / Beşiktaş / Dikilitaş Mah.","https://www.hepsiemlak.com/emlak-ofisi/kamil-emlak-1094/ali-safak-1094","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Whatsapp","","","Kamil Emlak"
"https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/2210-2726","12","13.500","28-02-2026","Kiralık Daire","Stüdyo","25 m²","11
                        Yaşında","1. Kat","Yeditepe Ana Kapıya Yakın Eşyalı Stüdyo Daire","İstanbul / Ataşehir / İnönü Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","Whatsapp","","",""
