"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-sile-balibey-kiralik/daire/116918-15","33","35.000","22-12-2025","Kiralık Daire","2 +
                          1","90 m²","31
                        Yaşında","2. Kat","Mert Gayrimenkul'den Öğrenciye Kiralık Daire","İstanbul / Şile / Balibey Mah.","https://www.hepsiemlak.com/emlak-ofisi/mert-emlak-insaat-gayrimenkul-danismanligi-116918","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/9/6/1/1/0eb24795-fa35-48d3-9d75-5220ea32c0b4.jpg","Mert Emlak İnşaat Gayrimenkul Danışmanlığı","",""
"https://www.hepsiemlak.com/istanbul-kagithane-merkez-kiralik/daire/7204-27544","20","57.000","30-01-2026","Kiralık Daire","2 +
                          1","95 m²","Sıfır Bina","5. Kat","Kağıthane Merkez Mah. Ada Rezidans Sıfır Kiralık 2+1 Daire","İstanbul / Kağıthane / Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-mujde-7204/zafer-zengin-1895210","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/0/1/2/5/9/8/1/bb1872ca-e41a-4b53-a57f-83bad432378f.jpg","Remax Müjde","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/0/2/7/0/0/294259fb-8dbf-40a5-b339-b6d725d8fe0e.jpg","Zafer
          Zengin"
"https://www.hepsiemlak.com/istanbul-sisli-inonu-kiralik/daire/79030-707","7","40.000","14-02-2026","Kiralık Daire","2 +
                          1","110 m²","21
                        Yaşında","2. Kat","2+1 Full Eşyalı Daire Taksime 10 Dakika Yürüme Mesafesinde","İstanbul / Şişli / İnönü Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-guzelce-kiralik/daire/26073-3316","18","25.000","27-02-2026","Kiralık Daire","2 +
                          1","140 m²","26
                        Yaşında","2. Kat","Işıl Dan Güzelcede Deniz Manzaralı,Tadilatlı ,Geniş 2+1 Kiralık Daire","İstanbul / Büyükçekmece / Güzelce Mah.","https://www.hepsiemlak.com/emlak-ofisi/isil-emlak-26073","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Işıl Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-umraniye-esenkent-kiralik/daire/163263-84","13","25.000","23-01-2026","Kiralık Daire","2 +
                          1","80 m²","5
                        Yaşında","3. Kat","Esenkent Mah (2+1) Kiralık Daire","İstanbul / Ümraniye / Esenkent Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-hazine-163263/ali-akman-4560965","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Hazine","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ali
          Akman"
"https://www.hepsiemlak.com/istanbul-arnavutkoy-mustafa-kemal-pasa-kiralik/daire/123163-3361","8","30.000","23-02-2026","Kiralık Daire","2 +
                          1","100 m²","Sıfır Bina","Giriş Katı","Mustafa Kemal Paşa'da Kiralık 2+1 Ters Dubleks","İstanbul / Arnavutköy / Mustafa Kemal Paşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-ram-gayrimenkul-123163","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Coldwell Banker Ram Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-fatih-sehremini-kiralik/daire/39589-10545","8","26.000","28-02-2026","Kiralık Daire","1 +
                          1","65 m²","31
                        Yaşında","Yüksek Giriş","Fatih Çapa Odabaşı Mimarkasım Cd.1+1 Eşyalı Daire","İstanbul / Fatih / Şehremini Mah.","https://www.hepsiemlak.com/emlak-ofisi/deniz-emlak-fatih-capa-findikzade-39589","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Deniz Emlak Fatih-çapa-fındıkzade","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-dugmeciler-kiralik/daire/6181-23877","24","52.000","17-02-2026","Kiralık Daire","2 +
                          1","90 m²","Sıfır Bina","8. Kat","Baharyaka Sitesi'nde Kiralık 2+1 Sıfır Daire","İstanbul / Eyüpsultan / Düğmeciler Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-beta-6181","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Beta","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/0-45882273","20","30.000","02-02-2026","Kiralık Daire","2 +
                          1","95 m²","20
                        Yaşında","2. Kat","Şişli Gülbahar’da Asansörlü Binada 2+1 | Boyalı | Kullanışlı | Eşyasız Kiralık","İstanbul / Şişli / Gülbahar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-pendik-bati-kiralik/daire/133645-39","16","37.000","03-03-2026","Kiralık Daire","3 +
                          1","135 m²","31
                        Yaşında","4. Kat","Samed Kaliç'ten 19 Mayıs Cd.'sinde Geniş 3+1 Kiralık Daire","İstanbul / Pendik / Batı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
