"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-kiralik/daire/136797-444","32","70.000","23-02-2026","Kiralık Daire","2 +
                          1","117 m²","Sıfır Bina","8. Kat","Seba Casa Kiralık 2+1 A Blok Balkonlu Yüksek Kat Taşınmaya Hazır","İstanbul / Kağıthane / Yahya Kemal Mah.","https://www.hepsiemlak.com/emlak-ofisi/ustanbul-property-136797/emrah-tuncil-3725797","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Ustanbul Property","Emrah
          Tuncil","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-kiralik/daire/85439-53","40","43.000","27-02-2026","Kiralık Daire","5 +
                          1","160 m²","5
                        Yaşında","2. Kat","Çift Girişli Geniş Ferah Dubleks 5+1","İstanbul / Kağıthane / Yahya Kemal Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-umraniye-yamanevler-kiralik/daire/6181-23815","34","127.000","06-03-2026","Kiralık Daire","3 +
                          1","178 m²","Sıfır Bina","5. Kat","Limonlu Bahçe Konakları En Büyük Tip Kiralık 3+1 Daire","İstanbul / Ümraniye / Yamanevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-beta-6181","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/8/1/6/0/0/ee917f0f-79ff-47bd-aa58-bd0b5957b7d1.jpeg","Remax Beta","","","",""
"https://www.hepsiemlak.com/istanbul-zeytinburnu-maltepe-kiralik/daire/166163-5","6","35.000","03-03-2026","Kiralık Daire","1 +
                          1","55 m²","5
                        Yaşında","6. Kat","Nef İnistanbul Ara Kat Balkonlu Boş 1+1 Kiralık Daire","İstanbul / Zeytinburnu / Maltepe Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-cumhuriyet-kiralik/daire/163902-74","12","37.000","20-01-2026","Kiralık Daire","2 +
                          1","97 m²","6
                        Yaşında","4. Kat","Kiralık Eşyalı Daire","İstanbul / Çekmeköy / Cumhuriyet Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-silivri-selimpasa-kiralik/daire/89677-1149","18","20.000","06-03-2026","Kiralık Daire","2 +
                          1","90 m²","25
                        Yaşında","2. Kat","Selimpaşa Duruman Mevkiinde İkinci Kat Kiralık 2+1 Daire Bekar Beylerde Kiralayabilir","İstanbul / Silivri / Selimpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-balikyolu-kiralik/daire/0-45788704","5","11.000","29-12-2025","Kiralık Daire","2 +
                          1","75 m²","10
                        Yaşında","Giriş Katı","Esenyurt İnönü Mahallesi 1+1 Mutfak Ayrı Komisyon Yok","İstanbul / Esenyurt / Balıkyolu Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-yakuplu-kiralik/daire/114218-2896","23","23.000","13-02-2026","Kiralık Daire","1 +
                          1","43 m²","4
                        Yaşında","3. Kat","Beylikdüzü Yakuplu'da Metrobüs Yanı 43m2 Eşyalı 1+1 Kiralık","İstanbul / Beylikdüzü / Yakuplu Mah.","https://www.hepsiemlak.com/emlak-ofisi/istanbul-house-114218","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İstanbul House","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-uskudar-sultantepe-kiralik/kosk/1668-14116","14","620.000","18-02-2026","Kiralık Köşk","12 +
                          0","1.000 m²","100
                        Yaşında","Bahçe Katı","Üsküdar'da 2.Derece Tarihi Eser Özellikli Kiralık Köşk","İstanbul / Üsküdar / Sultantepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/premar-park-1668","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Premar Park","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/81240-12290","14","24.000","28-02-2026","Kiralık Daire","1 +
                          1","70 m²","31
                        Yaşında","1. Kat","4.Levent Metroya 3 Dk. 1+1 Kiralık Daire,Artum'dan","İstanbul / Kağıthane / Çeliktepe Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-esenler-tuna-kiralik/daire/65187-4092","24","11.000","15-12-2025","Kiralık Daire","2 +
                          1","90 m²","11
                        Yaşında","Kot 1","Türkiye Emlak'dan Tuna  Mah 2+1 Kiralık 90m2 Bahçe Kat Daire","İstanbul / Esenler / Tuna Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/27431-11510","20","27.000","11-02-2026","Kiralık Daire","1 +
                          1","50 m²","16
                        Yaşında","5. Kat","Şişli Kurtuluş Bayır Sokak'ta Teraslı 1+1 Daire","İstanbul / Şişli / Feriköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-sonuc-27431","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Sonuç","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-veysel-karani-kiralik/daire/2137-28269","25","45.000","02-01-2026","Kiralık Daire","2 +
                          1","90 m²","5
                        Yaşında","2. Kat","Sinpaş Aydos Country Sitesi Geniş Teras Kullanımlı 2+1 Keyifli Daire","İstanbul / Sancaktepe / Veysel Karani Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-yildiz-2137","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Yıldız","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
