"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","wp-btn","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/80253-990","16","25.000","04-03-2026","Kiralık Daire","Stüdyo","40 m²","40
                        Yaşında","5. Kat","Kadıköy Merkezde Lüks Çatı Katı Göz Kamaştırıcı Stüdyo Daire 1+0","İstanbul / Kadıköy / Rasimpaşa Mah.","Whatsapp","","","","",""
"https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/39589-10549","16","35.000","07-03-2026","Kiralık Daire","2 +
                          1","90 m²","31
                        Yaşında","3. Kat","Fatih Çapa Odabaşı Camii Civarı Arakatta 2+1 85 M2 Full Daire","İstanbul / Fatih / Seyyid Ömer Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/deniz-emlak-fatih-capa-findikzade-39589","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/8/5/9/3/0/8cb36dcb-1d6b-4099-a7b4-20ed133e7f4f.jpg","Deniz Emlak Fatih-çapa-fındıkzade","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-kiralik/daire/114218-3219","34","60.000","06-03-2026","Kiralık Daire","2 +
                          1","95 m²","Sıfır Bina","3. Kat","İstanbul House'dan Bahçelievler'de Sıfır Binada 2+1 Ara Kat","İstanbul / Bahçelievler / Siyavuşpaşa Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/istanbul-house-114218/istanbul-house-2460148","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/1/0/6/4/2/96db8986-1510-48c0-954a-378f0129b5ab.jpg","İstanbul House","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/2/4/1/1/6b654317-ecfb-4d30-8a8a-eabfe77e707a.jpg","İstanbul
          House"
"https://www.hepsiemlak.com/istanbul-sisli-19-mayis-kiralik/daire/2431-7747","34","41.000","07-03-2026","Kiralık Daire","2 +
                          1","85 m²","40
                        Yaşında","4. Kat","Şişli Osmanbey Hrant Dink Sokakda Kiralık 2+1-85 M2 Eşyalı Daire","İstanbul / Şişli / 19 Mayıs Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/nur-emlak-2431","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nur Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-atasehir-icerenkoy-kiralik/daire/67193-1360","34","48.000","05-03-2026","Kiralık Daire","3 +
                          1","120 m²","30
                        Yaşında","5. Kat","Aren Emlak | Kayışdağı Caddesi Yanı Kücükbakkalköy Metro Durağına Yakın 3+1 Full Eşyalı Daire","İstanbul / Ataşehir / İçerenköy Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/aren-gayrimenkul-67193/musa-ciladar-1282470","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Aren Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Musa
          Ciladar"
"https://www.hepsiemlak.com/istanbul-sariyer-zekeriyakoy-kiralik/daire/11217-10037","34","143.000","04-03-2026","Kiralık Daire","4 +
                          1","200 m²","6
                        Yaşında","Bahçe Katı","Sarıyer,Köy Zekeriyaköy 1. Etap Kiralık 4+1 Bahçe Simplex Fırsatı!","İstanbul / Sarıyer / Zekeriyaköy Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/remax-ahenk-11217/nilufer-eroglu-3668662","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Ahenk","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Nilüfer
          Eroğlu"
"https://www.hepsiemlak.com/istanbul-cekmekoy-kirazlidere-kiralik/daire/54389-2748","34","71.000","02-03-2026","Kiralık Daire","3 +
                          1","200 m²","16
                        Yaşında","Bahçe Katı","Çekmeköy Sitede Özel Bahçeli Dubleks  3+1 Kiralık","İstanbul / Çekmeköy / Kirazlıdere Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-mimar-sinan-kiralik/daire/33208-5754","34","105.000","04-03-2026","Kiralık Daire","2 +
                          1","113 m²","2
                        Yaşında","Bahçe Katı","Diamond Dan Maya Kemer Evleri 2.Etapta Kiralık 2+1 Bahçe Katı Daire","İstanbul / Eyüpsultan / Mimar Sinan Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/diamond-proje-33208/inci-ersoy-881354","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Diamond Proje","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İnci
          Ersoy"
"https://www.hepsiemlak.com/istanbul-kadikoy-zuhtupasa-kiralik/daire/32754-3270","21","75.000","07-03-2026","Kiralık Daire","2 +
                          1","90 m²","Sıfır Bina","1. Kat","Kalamış Parkı Karşısı 24 Saat Güvenlik Sıfır Binada","İstanbul / Kadıköy / Zühtüpaşa Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/serna-gayrimenkul-danismanlik-32754","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Serna Gayrimenkul Danışmanlık","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/45057-878","21","65.000","06-03-2026","Kiralık Daire","3 +
                          1","145 m²","24
                        Yaşında","5. Kat","İlker Barutcu'dan, Dikilitaş'ta Eşyalı, Aydınlık Ve Bakımlı 3+1 Daire","İstanbul / Beşiktaş / Dikilitaş Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-cumhuriyet-kiralik/daire/92211-1185","24","45.000","07-03-2026","Kiralık Daire","4 +
                          2","280 m²","21
                        Yaşında","9. Kat","Beylikdüzü Cumhuriyet Mah Kiralık 4+2 280m² Geniş Ve Ferah Daire","İstanbul / Beylikdüzü / Cumhuriyet Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-maltepe-altaycesme-kiralik/daire/61168-9984","24","63.000","05-03-2026","Kiralık Daire","3 +
                          1","95 m²","2
                        Yaşında","5. Kat","Altayçeşme Mh. Rosa Delux Sıtesınde Peyzaja Hakım Kıralık 3+1 Daıre","İstanbul / Maltepe / Altayçeşme Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/remax-city-61168","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Cıty","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-maltepe-altintepe-kiralik/daire/2073-1849","24","80.000","04-03-2026","Kiralık Daire","3 +
                          1","160 m²","26
                        Yaşında","1. Kat","Bostancı Sahil Kısmında 3+1 Ebeveyn Banyolu Otoparklı","İstanbul / Maltepe / Altıntepe Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-kiralik/daire/1006-19528","24","90.000","02-03-2026","Kiralık Daire","2 +
                          1","95 m²","11
                        Yaşında","2. Kat","Fenerbahçe Ordu Evine 3. Bina Konumda Kombili","İstanbul / Kadıköy / Fenerbahçe Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/mega-emlak-1006/mega-gayrimenkul-1006","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mega Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mega
          Gayrimenkul"
"https://www.hepsiemlak.com/istanbul-umraniye-cakmak-kiralik/daire/104087-4027","24","36.000","02-03-2026","Kiralık Daire","1 +
                          1","48 m²","5
                        Yaşında","3. Kat","Ümraniye Tepe Üstü Mah.Ve Metroya Komşu 1,5+1 Kiralık Eşyalı Süper Bakımlı Ara Kat Daire","İstanbul / Ümraniye / Çakmak Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/wen-gayrimenkul-as-104087/ertekin-akpinar-4462963","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Wen Gayrimenkul A.Ş","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ertekın
          Akpınar"
"https://www.hepsiemlak.com/istanbul-beylikduzu-gurpinar-kiralik/villa/69372-1414","24","60.000","07-03-2026","Kiralık Villa","3 +
                          1","180 m²","16
                        Yaşında","","Müstakil Kiralık Daire Deniz Manzaralı","İstanbul / Beylikdüzü / Gürpınar Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
