"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-icon href","text-ellipsis","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-beylikduzu-baris-kiralik/daire/162365-28","20","30.000","25-02-2026","Kiralık Daire","1 +
                          1","70 m²","11
                        Yaşında","8. Kat","Beylikdüzü Barış Mah. Semerkand Lıne Da Kiralık 1+1 Daire","İstanbul / Beylikdüzü / Barış Mah.","https://www.hepsiemlak.com/emlak-ofisi/invest-line-gayrimenkul-162365","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","[object Object]","Hepsiemlak’ta Yeni Üye","Invest Line Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-esenyurt-asik-veysel-kiralik/daire/166006-24","22","20.000","24-02-2026","Kiralık Daire","1 +
                          1","75 m²","11
                        Yaşında","12. Kat","Esenkent Özyurtlar N Tepe 1+1 Eşyalı Kiralık Daire","İstanbul / Esenyurt / Aşık Veysel Mah.","","","[object Object]","Hepsiemlak’ta Yeni Üye","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/145406-347","20","90.000","24-02-2026","Kiralık Daire","2 +
                          1","120 m²","15
                        Yaşında","12. Kat","Mashattan'da Havuz Cepheli, Kapalı Mutfaklı 2+1 Kiralık Daire","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/m-metrekare-gayrimenkul-145406","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","","","M² Metrekare Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-sile-kizilca-kiralik/villa/116918-37","29","100.000","26-02-2026","Kiralık Villa","4 +
                          2","320 m²","Sıfır Bina","Bahçe Katı","Mert Gayrimenkul'den Şile Kızılca'da Kiralık 4+2 Havuzlu Villa","İstanbul / Şile / Kızılca Mah.","https://www.hepsiemlak.com/emlak-ofisi/mert-emlak-insaat-gayrimenkul-danismanligi-116918","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","Mert Emlak İnşaat Gayrimenkul Danışmanlığı","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-kiralik/residence/151543-39","25","45.000","24-02-2026","Kiralık Residence","2 +
                          1","128 m²","Sıfır Bina","12. Kat","Ramada Resıdences.Lux Daire","İstanbul / Esenyurt / Güzelyurt Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-uskudar-selami-ali-kiralik/daire/166191-18","23","51.500","02-03-2026","Kiralık Daire","2 +
                          1","70 m²","Sıfır Bina","3. Kat","Fıstıkağacında 2+1 Sıfır 70 M2, Metro Yakın, Balkonlu Otoparklı","İstanbul / Üsküdar / Selami Ali Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/daire/165118-21","24","49.000","24-02-2026","Kiralık Daire","2 +
                          1","98 m²","Sıfır Bina","3. Kat","Emlak Konut Çınarköy Evleri 98m2 Balkonlu 2+1 Şerefiyeli Daire","İstanbul / Çekmeköy / Güngören Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","","",""
"https://www.hepsiemlak.com/istanbul-silivri-fener-kiralik/villa/152683-157","29","290.000","24-02-2026","Kiralık Villa","7 +
                          1","650 m²","31
                        Yaşında","Bahçe Katı","Müstakil Geniş Bahçe Ve Özel Havuzlu Kiralık -Nuev","İstanbul / Silivri / Fener Mah.","https://www.hepsiemlak.com/emlak-ofisi/nuev-emlak-gayrimenkul-danismanligi-152683","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Nuev Emlak Gayrimenkul Danışmanlığı","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-cumhuriyet-kiralik/daire/2027-150","52","40.000","07-03-2026","Kiralık Daire","3 +
                          1","166 m²","16
                        Yaşında","4. Kat","Ran Proje Den Teras Çekmeköy Sit. 3+1 Kiralık Daire","İstanbul / Çekmeköy / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/ran-proje-emlak-hizmetleri-2027","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Ran Proje Emlak Hizmetleri","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/1114-5569","35","130.000","24-02-2026","Kiralık Daire","5 +
                          2","250 m²","Sıfır Bina","4. Kat","Bahçelievlerin En Prestijli Noktasında Lüks Kiralık Dubleks!","İstanbul / Bahçelievler / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/omur-emlak-1114","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Ömür Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ömür
          Emlak"
