"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","he-icon href","text-ellipsis","he-lazy-image src","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/22872-4819","31","68.000","09-02-2026","Kiralık Daire","1 +
                          1","79 m²","30
                        Yaşında","Bahçe Katı","Tarabya Sştede 1+1  70 Metrekare Eşyalı  Kiralık Daire","İstanbul / Sarıyer / Tarabya Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-kiralik/residence/79030-697","34","34.500","09-02-2026","Kiralık Residence","1 +
                          1","64 m²","6
                        Yaşında","1. Kat","Nef 14 Hamidiye'de Kiralık 1+1,64 M2 Balkonlu Residance Daire","İstanbul / Kağıthane / Hamidiye Mah.","","","","","","",""
"https://www.hepsiemlak.com/istanbul-umraniye-serifali-kiralik/daire/165268-7","41","44.500","03-03-2026","Kiralık Daire","1 +
                          1","71 m²","11
                        Yaşında","19. Kat","Pozitiften Sarissa Büyük Tip 1+171m2 Mobilyalı Kiralık 44.500tl.","İstanbul / Ümraniye / Şerifali Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-kiralik/daire/14946-14464","45","115.000","18-02-2026","Kiralık Daire","3 +
                          1","155 m²","32
                        Yaşında","9. Kat","City Tekyetkili, Fenerbahçede Full Deniz Manzaralı Ve İçi Yapılı, 3+1","İstanbul / Kadıköy / Fenerbahçe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/city-gayrimenkul-14946/melih-evcik-2504466","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Cıty Gayrimenkul","Melih
          Evcik"
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/164129-46","18","40.000","26-02-2026","Kiralık Daire","3 +
                          1","136 m²","6
                        Yaşında","6. Kat","Başakkent Gölet Evlerinde 3+1 136 M2 Arakat Kiralık Daire","İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.","[object Object]","Hepsiemlak’ta Yeni Üye","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-beykoz-tokatkoy-kiralik/mustakil-ev/116955-5750","35","125.000","25-02-2026","Kiralık Müstakil Ev","5 +
                          0","350 m²","35
                        Yaşında","","Beykoz Tokatköy Müstakil Bina Kısmı Eşyalı Kiralık","İstanbul / Beykoz / Tokatköy Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/kw-fores-116955/sevil-tezgorur-3385473","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kw Fores","Sevil
          Tezgörür"
"https://www.hepsiemlak.com/istanbul-esenyurt-inonu-kiralik/daire/124190-522","42","13.000","11-02-2026","Kiralık Daire","2 +
                          1","95 m²","10
                        Yaşında","Bahçe Katı","Ulaşıma Yakın Aileye Uygun Acil Kiralık 2+1 Bahçeli Bahçe Katı Daire","İstanbul / Esenyurt / İnönü Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/zen-yapi-124190","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Zen Yapı",""
"https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/33886-3073","36","97.000","06-03-2026","Kiralık Daire","2 +
                          1","101 m²","6
                        Yaşında","17. Kat","Avangart İstanbul Sitesi Yüksek Kat Vadi Cephe Eşyalı Kiralık 2+1 Daire","İstanbul / Kağıthane / Seyrantepe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/ars-gayrimenkul-33886","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ars Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-kartal-orhantepe-kiralik/daire/16829-2738","40","60.000","26-02-2026","Kiralık Daire","3 +
                          1","160 m²","28
                        Yaşında","3. Kat","Dragos Sahilde Kiralik Deniz Manzaralı 3+1daıre","İstanbul / Kartal / Orhantepe Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kartal-atalar-kiralik/daire/124093-563","27","77.000","21-02-2026","Kiralık Daire","3 +
                          1","170 m²","5
                        Yaşında","4. Kat","Atalar Mah.Ekşioğlu Tria Da Geniş Kullanışlı 3+1","İstanbul / Kartal / Atalar Mah.","","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
