"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","he-icon href","text-ellipsis"
"https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/2073-1826","24","59.000","27-02-2026","Kiralık Daire","3 +
                          1","110 m²","31
                        Yaşında","1. Kat","Erenköy Marmaray Yakını 3+1 Ön Cephe Balkonlu","İstanbul / Kadıköy / Erenköy Mah.","","","","","",""
"https://www.hepsiemlak.com/istanbul-atasehir-ataturk-kiralik/daire/34400-5143","24","85.000","23-02-2026","Kiralık Daire","2 +
                          1","100 m²","16
                        Yaşında","19. Kat","Ataşehir Andromeda Gold'da 2+1 Kiralık Daire Troyka'dan","İstanbul / Ataşehir / Atatürk Mah.","https://www.hepsiemlak.com/emlak-ofisi/troyka-real-estate-34400","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/2/4/7/0/7/79641321-8d72-4e67-ae0c-bc079db9f6d0.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/0/4/4/3/0/2acafa23-04f2-45c2-93fc-3d53777824cf.jpg","Troyka Real Estate","",""
"https://www.hepsiemlak.com/istanbul-uskudar-zeynep-kamil-kiralik/daire/65704-8958","24","20.000","06-03-2026","Kiralık Daire","2 +
                          1","75 m²","35
                        Yaşında","Kot 1","Zeynep Kamil Hastane Yakınında Kot 1 Kiralık Daire","İstanbul / Üsküdar / Zeynep Kamil Mah.","https://www.hepsiemlak.com/emlak-ofisi/ozyilmaz-gayrimenkul-65704","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/0/7/5/6/0/b0451a74-0414-4969-82ef-1340a392cb72.jpg","","Özyılmaz Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/33012-6523","22","42.000","06-03-2026","Kiralık Daire","1 +
                          1","65 m²","6
                        Yaşında","4. Kat","Şişli Esentepe 1+1 65m2 Amerikan Mutfaklı Yeni Bina'akdere Emlak","İstanbul / Şişli / Esentepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/akdere-emlak-33012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Akdere Emlak","",""
"https://www.hepsiemlak.com/istanbul-kagithane-caglayan-kiralik/daire/82808-1126","10","35.000","17-02-2026","Kiralık Daire","3 +
                          1","140 m²","15
                        Yaşında","En Üst Kat","Kagıthane Çaglayan Mah.3+1 Kiralık Dubleks Daire","İstanbul / Kağıthane / Çağlayan Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-beykoz-riva-kiralik/villa/110129-814","31","400.000","05-03-2026","Kiralık Villa","8 +
                          1","520 m²","1
                        Yaşında","Bahçe Katı","Düşler Vadisi Taşınmaya Hazır Bahçeli Muhteşem Kiralık Villa","İstanbul / Beykoz / Riva Mah.","https://www.hepsiemlak.com/emlak-ofisi/derya-demirli-gayrimenkul-110129","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Derya Demirli Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/10673-5574","31","72.000","23-02-2026","Kiralık Daire","2 +
                          1","80 m²","31
                        Yaşında","1. Kat","Cihangir Merkezde İçi Yenilenmiş Full Eşyalı Kiralık Ferah Daire","İstanbul / Beyoğlu / Cihangir Mah.","https://www.hepsiemlak.com/emlak-ofisi/prime-brokers-10673","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Prime Brokers","",""
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karlitepe-kiralik/daire/40658-22182","14","30.000","08-03-2026","Kiralık Daire","2 +
                          1","85 m²","21
                        Yaşında","Kot 1","Gaziosmanpaşa Karlıtepe Mahallesi 2+1 Kiralık","İstanbul / Gaziosmanpaşa / Karlıtepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-olusum-40658","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Oluşum","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/80253-985","14","55.000","02-03-2026","Kiralık Daire","2 +
                          1","75 m²","35
                        Yaşında","3. Kat","Kadıköy Rasimpaşada Her Yere Yakın 2+1 Eşyalı Ferah Balkonlu Daire","İstanbul / Kadıköy / Rasimpaşa Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/32175-4124","12","28.000","08-03-2026","Kiralık Daire","1 +
                          1","66 m²","11
                        Yaşında","2. Kat","Bahçeşehir Spradon Quartz Eşyalı Kiralık 1+1 Daire","İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.","https://www.hepsiemlak.com/emlak-ofisi/bahcesehir-avrupa-emlak-danismanligi-32175","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Bahçeşehir Avrupa Emlak Danışmanlığı","",""
"https://www.hepsiemlak.com/istanbul-tuzla-istasyon-kiralik/daire/6738-20511","14","51.000","28-02-2026","Kiralık Daire","2 +
                          1","96 m²","Sıfır Bina","5. Kat","Tuzla Marina 360 Marine Kiralık Balkonlu 2+1 Daire","İstanbul / Tuzla / İstasyon Mah.","https://www.hepsiemlak.com/emlak-ofisi/era-joy-6738","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Era Joy","",""
