"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-icon href","text-ellipsis","listing-card--owner-info__firm-name","he-lazy-image src 2"
"https://www.hepsiemlak.com/istanbul-bagcilar-kemalpasa-kiralik/daire/164742-626","20","26.500","05-03-2026","Kiralık Daire","2 +
                          1","95 m²","26
                        Yaşında","5. Kat","Efor Çok'tan Kemalpaşa'da Temiz Ferah Kiralık Daire","İstanbul / Bağcılar / Kemalpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/efor-cok-gayrimenkul-164742","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/4/7/4/6/1/2c61588e-9c0d-463f-b170-0909f8714790.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","Efor Çok Gayrimenkul",""
"https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-kiralik/daire/161261-329","33","32.000","27-02-2026","Kiralık Daire","2 +
                          1","85 m²","11
                        Yaşında","2. Kat","Yaşam'dan Kurtköy De Arakat 2+1 Kiralık Daire","İstanbul / Pendik / Kurtköy Mah.","","","[object Object]","Hepsiemlak’ta Yeni Üye","",""
"https://www.hepsiemlak.com/istanbul-atasehir-icerenkoy-kiralik/daire/158773-226","18","28.500","25-02-2026","Kiralık Daire","1 +
                          1","60 m²","6
                        Yaşında","Bahçe Katı","Homeland Emlak'tan İçerenköy'de Genış Kullanımlı 1+1 Daıre","İstanbul / Ataşehir / İçerenköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/homeland-real-estate-158773","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/7/7/8/5/1/4ce9a1f3-aa3d-41ed-b89d-3977da473afc.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","Homeland Real Estate",""
"https://www.hepsiemlak.com/istanbul-pendik-ahmet-yesevi-kiralik/daire/166336-11","18","22.500","11-02-2026","Kiralık Daire","3 +
                          1","140 m²","31
                        Yaşında","2. Kat","Pendik Ahmet Yesevi'de Kiralık Geniş 3+1 Daire","İstanbul / Pendik / Ahmet Yesevi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/1/6/0/1/6/4/15f7fa24-e422-4bd5-b53e-da72263fd2a0.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-mevlana-kiralik/daire/2027-144","35","24.000","17-02-2026","Kiralık Daire","2 +
                          1","75 m²","Sıfır Bina","Giriş Katı","Ran Proje Den Yenidoğan Da 2+1 Sıfır Kiralık Daire","İstanbul / Sancaktepe / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/ran-proje-emlak-hizmetleri-2027","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Ran Proje Emlak Hizmetleri","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/164563-34","51","42.000","07-02-2026","Kiralık Daire","2 +
                          1","85 m²","30
                        Yaşında","1. Kat","Tarabya  Merkezde  Sahile Yakın Kurumsal İşi Olan 2+1 Kiralık Daire","İstanbul / Sarıyer / Tarabya Mah.","https://www.hepsiemlak.com/emlak-ofisi/tarabya-ozgun-gayrimenkul-164563","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","Tarabya Özgün Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-pendik-dumlupinar-kiralik/daire/155606-230","19","28.000","18-02-2026","Kiralık Daire","1 +
                          1","80 m²","26
                        Yaşında","Bahçe Katı","Pendik Gözdagında Bekara Yabancı Uygun Eşyalı 2+1 Kiralik Daire","İstanbul / Pendik / Dumlupınar Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bagcilar-kemalpasa-kiralik/daire/154681-337","8","31.000","08-03-2026","Kiralık Daire","2 +
                          1","85 m²","Sıfır Bina","2. Kat","Bağcılar Kemalpaşa'da Sıfır Kiralık Daireler (6 Adet)","İstanbul / Bağcılar / Kemalpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/ergenler-emlak-154681","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","[object Object]","Hepsiemlak’ta Yeni Üye","Ergenler Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-sancaktepe-ataturk-kiralik/daire/32818-326","25","41.000","16-01-2026","Kiralık Daire","2 +
                          1","114 m²","16
                        Yaşında","4. Kat","Sancaktepe Sarı Evler Çekmeköy Sarıevler Kiralık Bakımlı Daire","İstanbul / Sancaktepe / Atatürk Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-guzelce-kiralik/daire/26073-3330","25","33.000","28-02-2026","Kiralık Daire","2 +
                          1","110 m²","28
                        Yaşında","2. Kat","Işıl Dan Güzelcede Deniz Manzaralı 2+1 Kiralık Daire","İstanbul / Büyükçekmece / Güzelce Mah.","https://www.hepsiemlak.com/emlak-ofisi/isil-emlak-26073","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","Işıl Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
